Name,Screen Name,Constituency,Party,Followers
Adam Afriyie,AdamAfriyie,Windsor,Conservative,"13,520"
Alan Duncan,AlanDuncanMP,Rutland and Melton,Conservative,"23,984"
Alan Mak,AlanMakMP,Havant,Conservative,"7,844"
Alberto Costa,AlbertoCostaMP,South Leicestershire,Conservative,"8,358"
Alec Shelbrooke,AlecShelbrooke,Elmet and Rothwell,Conservative,"14,473"
Alex Burghart,alexburghart,Brentwood and Ongar,Conservative,"2,986"
Alex Chalk,AlexChalkChelt,Cheltenham,Conservative,"7,370"
Alistair Burt,AlistairBurtUK,North East Bedfordshire,Conservative,"25,235"
Alok Sharma,AlokSharma_RDG,Reading West,Conservative,"12,162"
Alun Cairns,AlunCairns,Vale of Glamorgan,Conservative,"12,929"
Amanda Milling,amandamilling,Cannock Chase,Conservative,"7,311"
Amber Rudd,AmberRuddHR,Hastings and Rye,Conservative,"95,022"
Andrea Jenkyns,andreajenkyns,Morley and Outwood,Conservative,"45,593"
Andrea Leadsom,andrealeadsom,South Northamptonshire,Conservative,"97,465"
Andrew Bowie,AndrewBowieMP,West Aberdeenshire and Kincardine,Conservative,"5,193"
Andrew Bridgen,ABridgen,North West Leicestershire,Conservative,"24,305"
Andrew Jones,AJonesMP,Harrogate and Knaresborough,Conservative,"14,106"
Andrew Lewer,ALewerMBE,Northampton South,Conservative,"3,745"
Andrew Rosindell,AndrewRosindell,Romford,Conservative,"14,950"
Andrew Selous,AndrewSelous,South West Bedfordshire,Conservative,"17,552"
Andrew Stephenson,Andrew4Pendle,Pendle,Conservative,"20,277"
Anne Marie Morris,AnneMarieMorris,Newton Abbot,Conservative,"17,986"
Anne Milton,AnneMilton,Guildford,Conservative,"15,029"
Anne-Marie Trevelyan,annietrev,Berwick-upon-Tweed,Conservative,"12,442"
Antoinette Sandbach,Sandbach,Eddisbury,Conservative,"12,387"
Ben Bradley,bbradleymp,Mansfield,Conservative,"11,992"
Ben Wallace,BWallaceMP,Wyre and Preston North,Conservative,"6,061"
