party_id,party_name,party_description
ynmp-party:662,Radical Reform Group,
PP6589,New United Kingdom Voters Alliance,
PP865,The Justice & Anti-Corruption Party,
PP213,The End is Nigh,
PP287,Vote 2 Stop The War,
PP453,Protest Vote Party,
PP458,No More Excessive Housing In Kent,
ynmp-party:2,Independent,
PP465,The Khair (Best) Party,
PP477,Pink Party,
PP489,Their Party,
PP6402,West Windsor Residents Association,
PP6402,West Windsor Residents Association,West Windsor Residents Association (WWRA)
PP6596,The Harold Hill Independent Party,
PP6596,The Harold Hill Independent Party,Harold Hill Independent Party (Gooshays Ward)
PP6596,The Harold Hill Independent Party,Harold Hill Independent Party (Heaton Ward)
PP6661,The For Britain Movement,
PP6680,The Sensible Party,
PP6685,Wandsworth Planning Reform Party,
PP6724,Friends Of Rochford,
PP358,Caerleon Independent Progress Party,
PP360,Senior Citizens Party,
PP428,1st Action Party,
PP430,The British Democratic Reform Party,
PP505,Emergent Party,
PP562,The NHS First Party,
PP562,The NHS First Party,Scottish Voice NHS First
PP598,Boston District Independents,
PP598,Boston District Independents,Boston Bypass Independent
PP598,Boston District Independents,BBI
PP598,Boston District Independents,Boston Bypass Independents - getting Boston moving
PP598,Boston District Independents,Boston Bypass Independents - get Boston moving
PP598,Boston District Independents,Boston Bypass Independent - getting Boston moving
PP822,The Individual Reform Party,
PP822,The Individual Reform Party,"Reform MP Salaries, Allowances and Expenses"
PP822,The Individual Reform Party,Reform Government Expenditure
PP822,The Individual Reform Party,Reform Government Finances
PP822,The Individual Reform Party,Honesty and Transparency for Government
PP822,The Individual Reform Party,Honesty and Transparency for MPs
PP822,The Individual Reform Party,Honesty and Transparency for All
PP822,The Individual Reform Party,Broken Britain Needs Fixing
PP822,The Individual Reform Party,Put the Great Back into Britain
PP822,The Individual Reform Party,A Reform Agenda
PP822,The Individual Reform Party,A Manifesto for Change
PP822,The Individual Reform Party,A Reformist Manifesto
PP822,The Individual Reform Party,A Member of Parliament for Free
PP827,Freedom and Responsibility,
PP827,Freedom and Responsibility,for Freedom and Responsibility
PP827,Freedom and Responsibility,Facing up to Reality
PP827,Freedom and Responsibility,Taking Tough Decisions
PP827,Freedom and Responsibility,for Small Government
PP827,Freedom and Responsibility,Devolving Power to People
PP827,Freedom and Responsibility,"Real Solutions, not Spin"
PP827,Freedom and Responsibility,"Substance, not Spin"
PP827,Freedom and Responsibility,The Voice of Experience
PP827,Freedom and Responsibility,The Truth for a Change
PP218,West Hanworth Independent Group,
PP294,Aintree Ratepayer Association,
PPm441,Town Council Campaigner,
PP472,Operation Sundial,
PP484,Max Power Party,
PP491,Magna Carta Conservation Party Great Britain,
PP491,Magna Carta Conservation Party Great Britain,"No Donations/Subscriptions, Action Not words"
PP496,Virtue Currency Cognitive Appraisal Party,
PP504,Mansfield Independent Forum,
PP504,Mansfield Independent Forum,Putting Mansfield Residents First
PP504,Mansfield Independent Forum,People before Politics
PP504,Mansfield Independent Forum,People not Politics
PP504,Mansfield Independent Forum,Don't think politics think people
PP504,Mansfield Independent Forum,Local person for local people
PP504,Mansfield Independent Forum,Lets do what’s right for Mansfield
PP504,Mansfield Independent Forum,Vote the person not a party
PP504,Mansfield Independent Forum,Getting the best for Mansfield residents
PP504,Mansfield Independent Forum,Putting Mansfield Woodhouse Residents First
PP504,Mansfield Independent Forum,Putting Warsop Residents First
PP509,Nationalist Alliance,
PP516,Cambridge Community First,
PP523,Free England,
PP528,Epping Community Action Group,
PP535,North Somerset Community Action Association,
PP1960,Nottinghamshire Independent Forum,
PP1960,Nottinghamshire Independent Forum,Independent People Independent Thoughts
PP1960,Nottinghamshire Independent Forum,Nottinghamshire Independent Forum
PP1960,Nottinghamshire Independent Forum,Independents Working Only For You
PP1960,Nottinghamshire Independent Forum,Independent Independent Independent
PP1960,Nottinghamshire Independent Forum,Independent no Party Politics
PP1960,Nottinghamshire Independent Forum,Independent People with Independent Values
PP1960,Nottinghamshire Independent Forum,Independent Putting Mansfield First
PP1972,Don't Cook Party,
PP1972,Don't Cook Party,Stopping the nation from cooking
PP1972,Don't Cook Party,Fighting the burden of cooking
PP1972,Don't Cook Party,Saving the nation from home cooking
PP1972,Don't Cook Party,Recipe for a cooking-free Britain
PP1972,Don't Cook Party,Making home a cooking-free Zone
PP2090,NI21,
PP2090,NI21,NI Maturing In the 21st Century
PP2090,NI21,Aspire To Better
PP2108,Independent Loxford,
PP2108,Independent Loxford,Independent Loxford
PP2139,The Inspire Party,
PP2139,The Inspire Party,To inspire Britain
PP2139,The Inspire Party,Inspire leading the way
PP2139,The Inspire Party,Inspire: Leading on
PP2139,The Inspire Party,Inspiring the future
PP2139,The Inspire Party,A party to rebuild Great Britain
PP2139,The Inspire Party,Building Britain's future
PP2139,The Inspire Party,Be inspired
PP2139,The Inspire Party,Inspiring Britain
PP2139,The Inspire Party,Inspiring Britain's future
PP2139,The Inspire Party,Inspired for the future
PP2139,The Inspire Party,Britain inspired
PP2139,The Inspire Party,Rebuilding Britain's future
PP2165,British Independents,
PP2165,British Independents,British Independents
PP2165,British Independents,The Brits
PP2165,British Independents,Derbyshire Independents
PP6605,Engage,
PP6662,Democrats and Veterans Party,
PP6726,Viva Europa,
PP6726,Viva Europa,Protest against Brexit - vote Viva Europa
PP6726,Viva Europa,Fight Brexit: vote Viva Europa
PP6726,Viva Europa,Hate Brexit? Vote Viva Europa
PP220,Social Justice Party,
PP299,Protect Rural Scotland Party,
PP561,PPPILA,
PP561,PPPILA,The Slough Party
PP566,Traditional Democrats,
PP573,E.P.P.,
PP578,Brighton & Hove Independents,
PP580,The Momentum Party,
PP2196,Promise,
PP2196,Promise,Promise Party
PP2216,Democratic Reform Party,
PP2242,Old Swan Against the Cuts,
PP2242,Old Swan Against the Cuts,No Austerity
PP2242,Old Swan Against the Cuts,End Austerity - Old Swan Against Cuts
PP2242,Old Swan Against the Cuts,End Austerity
PP2247,Valour,
PP2300,Yourvoice,
PP2300,Yourvoice,...a better democracy
PP2300,Yourvoice,...no policies just your voice!
PP2305,Vapers in Power,
PP2305,Vapers in Power,"Our lives, Our choice, Our decision"
PP2305,Vapers in Power,"Save vaping, Save lives"
PP2305,Vapers in Power,Freedom to choose
PP6667,Advance Together,
PP6667,Advance Together,Advance Together Candidate
PP6667,Advance Together,The Advance Together Candidate
PP6679,Wickford Independents,
PP6679,Wickford Independents,Wickford Independents Free of Party Politics
PP6706,British Independent Reform Party,
PP6725,Burnley and Padiham independent Party,
PP6744,Bath & Northeast Somerset Independent Group,
PP63,Green Party,
PP63,Green Party,Green Party first choice candidate | Ymgeisydd dewis cyntaf y Blaid Werdd
PP63,Green Party,Green Party second choice candidate | Ymgeisydd ail dewis y Blaid Werdd
PP63,Green Party,Green Party third choice candidate | Ymgeisydd trydydd dewis y Blaid Werdd
PP63,Green Party,Green Party lead candidate | Prif ymgeisydd y Blaid Werdd
PP63,Green Party,Ecology Party | Plaid Ecoleg
PP63,Green Party,The Green Party | Plaid Werdd
PP63,Green Party,Green Party Stop Fracking Now
PP63,Green Party,Green Party candidate | Ymgeisydd Plaid Werdd
PP63,Green Party,The Green Party candidate | Ymgeisydd y Blaid Werdd
PP63,Green Party,Wales Green Party | Plaid Werdd Cymru
PP63,Green Party,Green Party Councillor | Cynghorydd Plaid Werdd
PP63,Green Party,Green Party - Save Our Green Space | Plaid Werdd – Achubwch Ein Mannau Gwyrdd
PP94,Highlands and Islands Alliance - Càirdeas,
PP671,Nationwide Reform Party,
PP6649,Nottingham Independents,
PP6649,Nottingham Independents,Nottingham Independents Putting Clifton First
PP6649,Nottingham Independents,Nottingham Independents Putting Bestwood First
PP6649,Nottingham Independents,Nottingham Independents Putting Bulwell First
PP6649,Nottingham Independents,Nottingham Independents Putting Aspley First
PP6649,Nottingham Independents,Nottingham Independents Putting Local People First
PP6649,Nottingham Independents,Nottingham Independents Putting People Before Politics
PP6649,Nottingham Independents,Nottingham Independents Putting St Ann's First
PP6649,Nottingham Independents,Nottingham Independents Putting The Park First
PP6649,Nottingham Independents,Nottingham Independents Putting Sherwood First
PP6649,Nottingham Independents,Nottingham Independents Putting Bilborough First
PP6649,Nottingham Independents,Nottingham Independents Putting Basford First
PP6649,Nottingham Independents,Nottingham Independents Against Local Tax Rises
PP80,Hackney 1st,
PP225,Environment and Wildlife,
PP617,Scottish Voice,
PP624,women4theworld,
PP2317,The United in Europe Party,
PP2317,The United in Europe Party,Keep the UK in the EU
PP2331,ACC,
PP2331,ACC,Spring Cleaning Team
PP2331,ACC,Slough Anti-corruption Campaign
PP2331,ACC,Slough Party
PP2331,ACC,Britwell Party
PP2343,Red Flag - Anti-Corruption,
PP2343,Red Flag - Anti-Corruption,The End Met Police Corruption Party
PP2398,The Independents Alliance,
PP2398,The Independents Alliance,Reading Independents - Putting Voters First
PP2398,The Independents Alliance,The Independents Alliance Candidate
PP2398,The Independents Alliance,The Local Candidate representing Local People
PP2398,The Independents Alliance,Wake Up to the Only Alternative
PP2398,The Independents Alliance,"Reading first, politics second"
PP2684,East Devon Alliance,
PP2684,East Devon Alliance,Independent East Devon Alliance
PP2684,East Devon Alliance,East Devon Alliance of Independents
PP2684,East Devon Alliance,East Devon Independent Alliance
PP2684,East Devon Alliance,Alliance of East Devon Independents
PP2684,East Devon Alliance,East Devon Alliance: Working for you
PP82,Socialist Alliance,
PP6707,Thurrock Independents,
PP6431,Touch Love Worldwide (UK),
PP6607,People's Alliance of Tower Hamlets,
PP6638,Holland On Sea & Eastcliff Matters,
PP6664,Democrats and Veterans Party,
PP6703,The Plumstead Party,
PP6703,The Plumstead Party,The Plumstead Party Candidate
PP6739,Duma Polska = Polish Pride,
PP6739,Duma Polska = Polish Pride,Duma Polska | Pride of Poland
PP166,Make Politicians History,
PP351,Common Sense Party,
PP414,Build Duddon and Morecambe Bridges,
PP438,The Resolutionist Party,
PP508,Nationalist Alliance,
PP522,PFRC,
PP793,The British Constitution Party,
PP793,The British Constitution Party,Electing the future for Britain
PP793,The British Constitution Party,Duty first-delivers
PP793,The British Constitution Party,Making your vision of Britain-Great
PP793,The British Constitution Party,The road map to Britain's recovery
PP793,The British Constitution Party,To serve the British people
PP793,The British Constitution Party,Labour in succession
PP793,The British Constitution Party,"Breaking news, inspired leadership grips election"
PP793,The British Constitution Party,Electing leadership for a new Britain
PP793,The British Constitution Party,Leadership for a great new Britain
PP793,The British Constitution Party,A party for a New government
PP793,The British Constitution Party,Securing your vision of Britain
PP793,The British Constitution Party,Leading British aspirations to success
PP1716,The European Citizens Party,
PP155,The People's Progressive Party,
PP232,Wimbledon Park Ward Independent Residents' Party,
PP629,You Party,
PP631,Reform - The Liberal and Progressive Movement,
PP679,Senate Party,
PP749,The Individuals Labour and Tory (TILT),
PP749,The Individuals Labour and Tory (TILT),Irish TILT
PP749,The Individuals Labour and Tory (TILT),I Party
